code,country,points,rank
FIN,Finland,7.659843445,1
NOR,Norway,7.596331596,2
DNK,Denmark,7.55778265,3
NLD,Netherlands,7.540877342,4
ISL,Iceland,7.510034561,5
CHE,Switzerland,7.458519936,6
SWE,Sweden,7.368744373,7
AUS,Australia,7.250080109,8
CAN,Canada,7.244845867,9
NZL,New Zealand,7.225687981,10
ISR,Israel,7.159010887,
CRI,Costa Rica,7.135617733,
AUT,Austria,7.048071861,
IRL,Ireland,7.04073143,
LUX,Luxembourg,6.967340946,
BEL,Belgium,6.948936462,
DEU,Germany,6.873763084,
ARE,United Arab Emirates,6.83095026,
GBR,United Kingdom,6.8242836,
MEX,Mexico,6.824172974,
USA,United States,6.803599834,
CZE,Czech Republic,6.735627174,
MLT,Malta,6.590842247,
CHL,Chile,6.579056263,
FRA,France,6.475208759,
SAU,Saudi Arabia,6.473921299,
ARG,Argentina,6.427221298,
BRA,Brazil,6.374817371,
GTM,Guatemala,6.358916283,
ESP,Spain,6.318612099,
COL,Colombia,6.233715057,
URY,Uruguay,6.171485424,
BHR,Bahrain,6.169673443,
POL,Poland,6.162076473,
SLV,El Salvador,6.139824867,
PAN,Panama,6.117638111,
ECU,Ecuador,6.115437508,
THA,Thailand,6.07363987,
SGP,Singapore,6.033480644,
NIC,Nicaragua,6.012739658,
SVK,Slovakia,5.993163109,
ROU,Romania,5.96887064,
JPN,Japan,5.954650879,
ITA,Italy,5.95452404,
KWT,Kuwait,5.947194576,
LVA,Latvia,5.940446377,
SVN,Slovenia,5.936821461,
UZB,Uzbekistan,5.892539024,
TKM,Turkmenistan,5.887051582,
LTU,Lithuania,5.865552425,
RUS,Russia,5.85494566,
PRY,Paraguay,5.801380157,
CYP,Cyprus,5.794618607,
BOL,Bolivia,5.769723415,
KSV,Kosovo,5.759412289,
SRB,Serbia,5.752754688,
PER,Peru,5.700628757,
EST,Estonia,5.649675369,
HND,Honduras,5.648154736,
MUS,Mauritius,5.610003471,
MDA,Moldova,5.577784061,
PAK,Pakistan,5.548508167,
KAZ,Kazakhstan,5.533551693,
HUN,Hungary,5.448901653,
PRT,Portugal,5.446637154,
LBY,Libya,5.43358326,
PHL,Philippines,5.430832863,
DZA,Algeria,5.388170719,
MAR,Morocco,5.38630724,
MKD,Macedonia,5.34574604,
TUR,Turkey,5.326221943,
CHN,China,5.32495594,
MNE,Montenegro,5.304066181,
AZE,Azerbaijan,5.303894997,
GRC,Greece,5.302619457,
JOR,Jordan,5.27128458,
LBN,Lebanon,5.27072382,
DOM,Dominican Republic,5.238698483,
NGA,Nigeria,5.219567776,
BIH,Bosnia and Herzegovina,5.180865288,
BLR,Belarus,5.177899361,
IDN,Indonesia,5.136325359,
TJK,Tajikistan,5.103721142,
NPL,Nepal,5.099539757,
VNM,Vietnam,5.062267303,
MNG,Mongolia,5.056999683,
KGZ,Kyrgyzstan,4.856534004,
BGR,Bulgaria,4.837560654,
GAB,Gabon,4.831764221,
CMR,Cameroon,4.816232204,
ZAF,South Africa,4.769739628,
SLE,Sierra Leone,4.732953072,
SOM,Somalia,4.667941093,
IRN,Iran,4.652730942,
SEN,Senegal,4.59453392,
EGY,Egypt,4.556740761,
BGD,Bangladesh,4.5561409,
TUN,Tunisia,4.521453381,
GHA,Ghana,4.514411449,
ALB,Albania,4.511100769,
MRT,Mauritania,4.472149372,
KHM,Cambodia,4.461259365,
GEO,Georgia,4.448386192,
IRQ,Iraq,4.412537098,
KEN,Kenya,4.396127701,
ZMB,Zambia,4.347543716,
ARM,Armenia,4.325471878,
ETH,Ethiopia,4.297848701,
NER,Niger,4.234645844,
UGA,Uganda,4.233261108,
AFG,Afghanistan,4.220168591,
BFA,Burkina Faso,4.205634594,
IND,India,4.179177284,
VEN,Venezuela,4.041114807,
TCD,Chad,4.029350281,
UKR,Ukraine,4.028690338,
MLI,Mali,4.016027927,
BEN,Benin,4.007357597,
TGO,Togo,3.878578424,
YEM,Yemen,3.825630903,
LSO,Lesotho,3.808204889,
ZWE,Zimbabwe,3.7354002,
MDG,Madagascar,3.663085938,
GIN,Guinea,3.602854729,
BWA,Botswana,3.498936653,
MWI,Malawi,3.476492643,
LBR,Liberia,3.354676008,
HTI,Haiti,3.352300167,
RWA,Rwanda,3.332989931,
TZA,Tanzania,2.90273428,
SSD,South Sudan,2.888112307,
CAF,Central African Republic,2.693061113,
